"Org.Code","Org.Name","Service.Type","RCI","Index_Type"
"R1A","WORCESTERSHIRE HEALTH AND CARE NHS TRUST","RCI(incl XBD)",102.89,"Episode_MFF_adjusted"
"R1C","SOLENT NHS TRUST","RCI(incl XBD)",105.74,"Episode_MFF_adjusted"
"R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST","RCI(incl XBD)",105.69,"Episode_MFF_adjusted"
"R1E","STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST","RCI(incl XBD)",113.2,"Episode_MFF_adjusted"
"R1F","ISLE OF WIGHT NHS TRUST","RCI(incl XBD)",104.86,"Episode_MFF_adjusted"
"R1H","BARTS HEALTH NHS TRUST","RCI(incl XBD)",102.92,"Episode_MFF_adjusted"
"R1J","GLOUCESTERSHIRE CARE SERVICES NHS TRUST","RCI(incl XBD)",94.59,"Episode_MFF_adjusted"
"R1K","THE LONDON NORTH WEST HEALTHCARE NHS TRUST ","RCI(incl XBD)",109.3,"Episode_MFF_adjusted"
"RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",93.6,"Episode_MFF_adjusted"
"RA3","WESTON AREA HEALTH NHS TRUST","RCI(incl XBD)",101.37,"Episode_MFF_adjusted"
"RA4","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",107.65,"Episode_MFF_adjusted"
"RA7","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RCI(incl XBD)",95.77,"Episode_MFF_adjusted"
"RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST ","RCI(incl XBD)",99.71,"Episode_MFF_adjusted"
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",105.18,"Episode_MFF_adjusted"
"RAJ","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",92.52,"Episode_MFF_adjusted"
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","RCI(incl XBD)",97.37,"Episode_MFF_adjusted"
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RCI(incl XBD)",134.13,"Episode_MFF_adjusted"
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RCI(incl XBD)",91.68,"Episode_MFF_adjusted"
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",100.73,"Episode_MFF_adjusted"
